Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,CVE_ID,CVSS_Score,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity
Globex Corporation Solutions,Asia,HR,Alex Davis,alex.davis@globex.com,CVE-2023-1068,5.8,A vulnerability in software component XYZ allows attackers to exploit denial of service under specific conditions. CVSS base score of 5.8.,Pending,Unknown,20,08/03/2025,26,Unknown Patch Status Variant 1,Format Error,Medium,Extreme
Wayne Enterprises Ltd,North America,Compliance,Taylor Kim,taylor.kim@wayne.com,CVE-2023-1014,7.6,A vulnerability in software component XYZ allows attackers to exploit privilege escalation under specific conditions. CVSS base score of 7.6.,No,Unknown,45,01/03/2025,33,Risk Spike Detected Variant 2 Variant 1,Format Error,Critical,Moderate
Duff Breweries West,North America,HR,Jamie Wilson,jamie.wilson@duff.com,CVE-2023-1082,6.7,A vulnerability in software component XYZ allows attackers to exploit remote code execution under specific conditions. CVSS base score of 6.7.,No,Unknown,30,19/03/2025,15,Same Day CVE Flood Variant 3,Format Error,Low,Basic
Wonka Industries East,Europe,HR,Taylor Patel,taylor.patel@wonka.com,CVE-2023-1021,5.0,A vulnerability in software component XYZ allows attackers to exploit authentication bypass under specific conditions. CVSS base score of 5.0.,No,Yes,60,2025-03-24,10,Clean Vendor,Escalation Required,Low,Basic
Testla Nova Group,South America,IT,Morgan Nguyen,morgan.nguyen@testla.com,CVE-2023-1036,4.8,A vulnerability in software component XYZ allows attackers to exploit privilege escalation under specific conditions. CVSS base score of 4.8.,Yes,Yes,10,28/02/2025,34,Manual Process Delay,Format Error,Critical,Advanced
Solaris Group West,South America,Operations,Morgan Lee,morgan.lee@solaris.com,CVE-2023-1036,4.8,A vulnerability in software component XYZ allows attackers to exploit privilege escalation under specific conditions. CVSS base score of 4.8.,Yes,Yes,10,2025-02-28,34,Risk Spike Detected Variant 3,Escalation Required,Low,Basic
Crimson Digital,Europe,IT,Riley Kim,riley.kim@crimson.com,CVE-2023-1049,8.9,A vulnerability in software component XYZ allows attackers to exploit remote code execution under specific conditions. CVSS base score of 8.9.,Yes,Unknown,10,2025-03-25,9,Formatting Chaos Variant 2,Normal,Medium,Advanced
Tyrell Corporation Ltd,Middle East,IT,Taylor Kim,taylor.kim@tyrell.com,CVE-2023-1070,7.1,A vulnerability in software component XYZ allows attackers to exploit remote code execution under specific conditions. CVSS base score of 7.1.,Pending,No,60,2025-03-30,4,Bad Date Format,Special Context,Low,Extreme
Stark Industries Intl,Middle East,Finance,Casey Smith,casey.smith@stark.com,CVE-2023-1005,8.2,A vulnerability in software component XYZ allows attackers to exploit information disclosure under specific conditions. CVSS base score of 8.2.,No,Unknown,15,2025-02-22,40,Region-Specific Spike,Timing Issue,Low,Advanced
Militech,North America,Compliance,Morgan Garcia,morgan.garcia@militech.com,CVE-2023-1015,8.9,A vulnerability in software component XYZ allows attackers to exploit remote code execution under specific conditions. CVSS base score of 8.9.,Pending,No,10,2025-03-16,18,Extra Fields Present,Possible Noise,Low,Moderate
NovaCore,Asia,IT,Jamie Smith,jamie.smith@novacore.com,CVE-2023-1035,7.3,A vulnerability in software component XYZ allows attackers to exploit denial of service under specific conditions. CVSS base score of 7.3.,Pending,No,10,2025-03-18,16,Email Bounce,Duplicate Entry,Medium,Extreme
OmniCore Ltd,Europe,HR,Casey Brown,casey.brown@omnicore.com,CVE-2023-1073,8.0,A vulnerability in software component XYZ allows attackers to exploit information disclosure under specific conditions. CVSS base score of 8.0.,Yes,Unknown,10,2025-03-02,32,Formatting Chaos Variant 1,Duplicate Entry,Critical,Basic
Yoyodyne Propulsion,Middle East,Operations,Jamie Brown,jamie.brown@yoyodyne.com,CVE-2023-1038,6.6,A vulnerability in software component XYZ allows attackers to exploit information disclosure under specific conditions. CVSS base score of 6.6.,Pending,Unknown,20,2025-02-22,40,Formatting Chaos Variant 2,Normal,Medium,Advanced
Blue Sun Corporation West,Europe,HR,Skyler Lee,skyler.lee@blue.com,CVE-2023-1086,9.8,A vulnerability in software component XYZ allows attackers to exploit authentication bypass under specific conditions. CVSS base score of 9.8.,No,No,60,2025-03-11,23,Email Bounce Variant 1 Variant 1,Special Context,Medium,Advanced
Abstergo West,Middle East,IT,Alex Nguyen,alex.nguyen@abstergo.com,CVE-2023-1037,8.1,A vulnerability in software component XYZ allows attackers to exploit denial of service under specific conditions. CVSS base score of 8.1.,Yes,Yes,20,18/02/2025,44,Same Day CVE Flood Variant 1,Format Error,Low,Extreme
Ironclad Defense West,Middle East,Finance,Devon Nguyen,devon.nguyen@ironclad.com,CVE-2023-1070,7.1,A vulnerability in software component XYZ allows attackers to exploit remote code execution under specific conditions. CVSS base score of 7.1.,Yes,Yes,20,24/02/2025,38,Manual Process Delay,Format Error,Critical,Advanced
Pied Piper Solutions,Middle East,HR,Skyler Lee,skyler.lee@pied.com,CVE-2023-1060,5.0,A vulnerability in software component XYZ allows attackers to exploit denial of service under specific conditions. CVSS base score of 5.0.,Pending,Unknown,30,2025-03-06,28,Escalated and Ignored,Special Context,Critical,Advanced
Nakatomi Trading West,Middle East,Compliance,Jamie Garcia,jamie.garcia@nakatomi.com,CVE-2023-1029,9.1,A vulnerability in software component XYZ allows attackers to exploit authentication bypass under specific conditions. CVSS base score of 9.1.,Pending,Yes,10,2025-03-26,8,VPN Exposure Variant 3,Special Context,Low,Advanced
Testla Nova,South America,Operations,Jamie Martinez,jamie.martinez@testla.com,CVE-2023-1025,7.5,A vulnerability in software component XYZ allows attackers to exploit denial of service under specific conditions. CVSS base score of 7.5.,Yes,No,45,2025-03-13,21,Extra Fields Present Variant 3 Variant 3 Variant 3,Special Context,Low,Advanced
Gringotts Bank Intl,Asia,HR,Casey Martinez,casey.martinez@gringotts.com,CVE-2023-1083,6.4,A vulnerability in software component XYZ allows attackers to exploit authentication bypass under specific conditions. CVSS base score of 6.4.,Yes,Yes,20,2025-02-24,38,Risk Spike Detected Variant 3,Escalation Required,Low,Basic
Umbrella Inc Holdings,South America,Finance,Jamie Lee,jamie.lee@umbrella.com,CVE-2023-1035,7.3,A vulnerability in software component XYZ allows attackers to exploit denial of service under specific conditions. CVSS base score of 7.3.,Pending,Unknown,60,2025-03-29,5,Multi-Region Vendor,Escalation Required,Critical,Advanced
Yoyodyne Propulsion West,Asia,IT,Devon Lee,devon.lee@yoyodyne.com,CVE-2023-1004,9.5,A vulnerability in software component XYZ allows attackers to exploit privilege escalation under specific conditions. CVSS base score of 9.5.,No,Unknown,15,2025-03-31,3,Log Injection Detected Variant 3,Escalation Required,Medium,Moderate
Vault-Tec LLC,North America,HR,Casey Smith,casey.smith@vault-tec.com,CVE-2023-1085,4.5,A vulnerability in software component XYZ allows attackers to exploit information disclosure under specific conditions. CVSS base score of 4.5.,No,Yes,30,2025-03-08,26,Fake Positive,Timing Issue,Low,Advanced
Oscorp Services,Asia,IT,Devon Davis,devon.davis@oscorp.com,CVE-2023-1084,9.2,A vulnerability in software component XYZ allows attackers to exploit privilege escalation under specific conditions. CVSS base score of 9.2.,No,Yes,20,18/03/2025,16,Hardcoded Creds Detected,Format Error,Medium,Moderate
Vehement Capital Partners Holdings,Europe,Operations,Taylor Davis,taylor.davis@vehement.com,CVE-2023-1080,8.0,A vulnerability in software component XYZ allows attackers to exploit denial of service under specific conditions. CVSS base score of 8.0.,No,Yes,20,2025-02-26,36,Missing Contact Info,Partial Data,High,Moderate
