Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,Vuln_ID,CVSS_Score,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity
Duff Breweries Solutions,South America,Operations,Alex Wilson,alex.wilson@duff.com,CVE-2025-3159,7.4,This is a simulated description of vulnerability number 18.,No,Yes,45,04/03/2025,30,Risk Spike Detected Variant 2 Variant 1,Format Error,Critical,Moderate
Vault-Tec Ltd,North America,IT,Riley Nguyen,riley.nguyen@vault-tec.com,CVE-2025-3170,7.5,This is a simulated description of vulnerability number 17.,Yes,Unknown,60,2025-03-07,27,Outdated Info Variant 1,Normal,High,Basic
Acme Corp Ltd,Asia,Compliance,Morgan Smith,morgan.smith@acme.com,CVE-2025-3177,6.0,This is a simulated description of vulnerability number 14.,Pending,No,5,2025-03-11,23,Threat Feed Conflict,Possible Noise,Low,Basic
Hyperion Ltd,Europe,IT,Jordan Kim,jordan.kim@hyperion.com,CVE-2025-3131,6.9,This is a simulated description of vulnerability number 11.,Pending,No,30,2025-04-02,1,Manual Verification Needed,Special Context,High,Moderate
Arasaka Solutions,South America,Compliance,Morgan Lee,morgan.lee@arasaka.com,CVE-2025-3129,5.5,This is a simulated description of vulnerability number 3.,Yes,Yes,10,20/03/2025,14,Manual Process Delay,Format Error,Critical,Advanced
Duff Breweries West,North America,HR,Jamie Wilson,jamie.wilson@duff.com,CVE-2025-3108,8.9,This is a simulated description of vulnerability number 9.,No,Yes,30,2025-02-26,36,Threat Actor Mention,Duplicate Entry,Critical,Advanced
Neon Circle,South America,Operations,Alex Davis,alex.davis@neon.com,CVE-2025-3128,5.9,This is a simulated description of vulnerability number 4.,No,Yes,30,2025-03-26,8,Inactive Vendor Variant 2 Variant 3,Duplicate Entry,High,Advanced
Acme Corp Solutions,South America,IT,Riley Brown,riley.brown@acme.com,CVE-2025-3160,8.3,This is a simulated description of vulnerability number 2.,Yes,Unknown,20,2025-02-20,42,Abnormal Port Access,Timing Issue,Low,Basic
NeoNet LLC,Asia,Finance,Taylor Smith,taylor.smith@neonet.com,CVE-2025-3109,7.9,This is a simulated description of vulnerability number 15.,Yes,Unknown,5,2025-03-29,5,Abnormal Port Access Variant 1,Normal,High,Advanced
Wayne Enterprises Ltd,North America,Compliance,Taylor Kim,taylor.kim@wayne.com,CVE-2025-3119,7.3,This is a simulated description of vulnerability number 12.,Pending,Unknown,20,2025-03-08,26,AI Flagged CVE,Timing Issue,Low,Moderate
