Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,CVE_ID,CVSS_Score,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity
Cyberdyne Systems East,Europe,Finance,Devon Wilson,devon.wilson@cyberdyne.com,CVE-2023-1092,7.9,A vulnerability in software component XYZ allows attackers to exploit privilege escalation under specific conditions. CVSS base score of 7.9.,No,No,10,2025-03-08,26,Inactive Vendor Variant 2,Timing Issue,Medium,Basic
Tyrell Corporation,Middle East,Compliance,Alex Lee,alex.lee@tyrell.com,CVE-2023-1058,7.4,A vulnerability in software component XYZ allows attackers to exploit authentication bypass under specific conditions. CVSS base score of 7.4.,No,No,10,2025-02-18,44,Inactive Vendor Variant 2,Timing Issue,Medium,Basic
Zorin Industries LLC,Asia,IT,Casey Wilson,casey.wilson@zorin.com,CVE-2023-1093,5.7,A vulnerability in software component XYZ allows attackers to exploit privilege escalation under specific conditions. CVSS base score of 5.7.,No,No,20,2025-02-21,41,Inactive Vendor Variant 2,Timing Issue,Medium,Basic
Ironclad Defense East,Middle East,Finance,Taylor Lee,taylor.lee@ironclad.com,CVE-2023-1049,8.9,A vulnerability in software component XYZ allows attackers to exploit remote code execution under specific conditions. CVSS base score of 8.9.,No,No,20,2025-03-12,22,Inactive Vendor Variant 2,Timing Issue,Medium,Basic
NovaCore Group,Middle East,Operations,Alex Martinez,alex.martinez@novacore.com,CVE-2023-1053,7.0,A vulnerability in software component XYZ allows attackers to exploit information disclosure under specific conditions. CVSS base score of 7.0.,No,No,20,2025-03-20,14,Inactive Vendor Variant 2,Timing Issue,Medium,Basic
Duff Breweries West,North America,HR,Jamie Wilson,jamie.wilson@duff.com,CVE-2023-1038,6.6,A vulnerability in software component XYZ allows attackers to exploit information disclosure under specific conditions. CVSS base score of 6.6.,No,No,10,2025-03-13,21,Inactive Vendor Variant 2,Timing Issue,Medium,Basic
Militech,North America,Compliance,Morgan Garcia,morgan.garcia@militech.com,CVE-2023-1055,6.5,A vulnerability in software component XYZ allows attackers to exploit privilege escalation under specific conditions. CVSS base score of 6.5.,No,No,10,2025-03-27,7,Inactive Vendor Variant 2,Timing Issue,Medium,Basic
Rapture Central Solutions,Europe,Operations,Skyler Garcia,skyler.garcia@rapture.com,CVE-2023-1089,8.8,A vulnerability in software component XYZ allows attackers to exploit authentication bypass under specific conditions. CVSS base score of 8.8.,No,No,10,2025-03-06,28,Inactive Vendor Variant 2,Timing Issue,Medium,Basic
Wonka Industries Ltd,North America,HR,Jordan Smith,jordan.smith@wonka.com,CVE-2023-1000,9.4,A vulnerability in software component XYZ allows attackers to exploit information disclosure under specific conditions. CVSS base score of 9.4.,No,No,20,2025-03-17,17,Inactive Vendor Variant 2,Timing Issue,Medium,Basic
Zorin Industries Group,Middle East,Finance,Devon Lee,devon.lee@zorin.com,CVE-2023-1032,6.9,A vulnerability in software component XYZ allows attackers to exploit denial of service under specific conditions. CVSS base score of 6.9.,No,No,10,2025-03-09,25,Inactive Vendor Variant 2,Timing Issue,Medium,Basic
