Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,Vuln_ID,CVSS_Score_x,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity,Title,Description,Affected_Product,CVSS_Score_y,Exploit_Available,Date_Published,Patch_Status,Exploit_Type,Source_File
Planet Express Intl,Asia,Finance,Alex Kim,alex.kim@planet.com,CVE-2025-30118,7.3,This is a simulated description of vulnerability number 18.,No,Unknown,5,25/02/2025,37,Multi-Region Vendor Variant 1,Format Error,Critical,Extreme,Exploit Variant 18,This is a simulated description of vulnerability number 18.,Product_X5,7.3,Yes,2024-04-03,Available,Privilege Escalation,521118.py
Initech Services,South America,IT,Casey Wilson,casey.wilson@initech.com,CVE-2025-3171,8.6,This is a simulated description of vulnerability number 5.,No,No,15,19/03/2025,15,Long Exposure Duration Variant 1,Format Error,Medium,Moderate,Exploit Variant 5 Clone 71,This is a simulated description of vulnerability number 5.,Product_X3,8.6,No,2025-03-23,Unknown,SQLi,auto_71.py
Pied Piper Solutions,Middle East,HR,Skyler Lee,skyler.lee@pied.com,CVE-2025-3121,9.1,This is a simulated description of vulnerability number 7.,Pending,Yes,30,2025-03-02,32,Missing Contact Info Variant 1,Escalation Required,High,Basic,Exploit Variant 7 Clone 21,This is a simulated description of vulnerability number 7.,Product_Z3,9.1,No,2024-07-19,Not Available,XSS,auto_21.py
Virtucon Solutions,Europe,IT,Taylor Davis,taylor.davis@virtucon.com,CVE-2025-3179,5.6,This is a simulated description of vulnerability number 14.,Pending,Unknown,60,28/02/2025,34,Unknown Patch Status,Format Error,Low,Basic,Exploit Variant 14 Clone 79,This is a simulated description of vulnerability number 14.,Product_Y1,5.6,Yes,2024-11-28,Available,LFI,auto_79.py
Cyberlife Group,South America,IT,Skyler Nguyen,skyler.nguyen@cyberlife.com,CVE-2025-30102,7.6,This is a simulated description of vulnerability number 2.,No,Yes,45,2025-03-22,12,Backdoor Vendor,Special Context,Critical,Advanced,Exploit Variant 2,This is a simulated description of vulnerability number 2.,Product_Y2,7.6,No,2024-09-18,Unknown,RCE,521102.py
Virtucon Solutions,Europe,IT,Taylor Davis,taylor.davis@virtucon.com,CVE-2025-3129,5.5,This is a simulated description of vulnerability number 3.,Yes,No,5,2025-03-03,31,Formatting Chaos Variant 1,Duplicate Entry,Critical,Basic,Exploit Variant 3 Clone 29,This is a simulated description of vulnerability number 3.,Product_Z1,5.5,Yes,2024-11-26,Available,Privilege Escalation,auto_29.py
Chronos Labs Intl,Asia,Operations,Taylor Martinez,taylor.martinez@chronos.com,CVE-2025-3109,7.9,This is a simulated description of vulnerability number 15.,Pending,Unknown,45,2025-03-26,8,Red Team Simulation Variant 1,Possible Noise,High,Basic,Exploit Variant 15 Clone 9,This is a simulated description of vulnerability number 15.,Product_X5,7.9,Yes,2025-01-12,Available,XSS,auto_9.py
Abstergo Holdings,South America,Finance,Morgan Nguyen,morgan.nguyen@abstergo.com,CVE-2025-3100,8.4,This is a simulated description of vulnerability number 7.,No,Unknown,30,2025-02-22,40,Region-Specific Spike,Timing Issue,Low,Advanced,Exploit Variant 7 Clone 0,This is a simulated description of vulnerability number 7.,Product_Z3,8.4,No,2024-06-27,Not Available,XSS,auto_0.py
NovaCore,Asia,IT,Jamie Smith,jamie.smith@novacore.com,CVE-2025-3131,6.9,This is a simulated description of vulnerability number 11.,Pending,Yes,60,2025-03-16,18,Non-English Report,Special Context,High,Moderate,Exploit Variant 11 Clone 31,This is a simulated description of vulnerability number 11.,Product_Z1,6.9,Yes,2024-11-21,Available,Privilege Escalation,auto_31.py
Globex Corporation Solutions,Asia,HR,Alex Davis,alex.davis@globex.com,CVE-2025-30113,8.3,This is a simulated description of vulnerability number 13.,Yes,Yes,10,2025-03-01,33,No CVSS Score,Special Context,High,Moderate,Exploit Variant 13,This is a simulated description of vulnerability number 13.,Product_Z4,8.3,Yes,2024-10-07,Available,RCE,521113.py
